page,column,type,text,bbox,fingerprint
1,3,text_line,C4.5 - STORM GRADING PLAN,"{""x1"": 1726.679931640625, ""y1"": 364.0729064941406, ""x2"": 1901.043701171875, ""y2"": 376.1421203613281}",1-727765300033
1,3,text_line,C4.6 - STORM GRADING PLAN,"{""x1"": 1726.679931640625, ""y1"": 382.3128967285156, ""x2"": 1901.043701171875, ""y2"": 394.3821105957031}",1-884179442271
1,3,text_line,C4.7 - ENTRANCE DRIVE GRADING,"{""x1"": 1726.679931640625, ""y1"": 400.4328918457031, ""x2"": 1929.2010498046875, ""y2"": 412.5021057128906}",1-198672098412
1,3,text_line,C5.0 - OVERALL UTILITY PLAN,"{""x1"": 1726.679931640625, ""y1"": 418.6728820800781, ""x2"": 1901.7437744140625, ""y2"": 430.7420959472656}",1-444228753328
1,3,text_line,C5.1 - UTILITY PLAN,"{""x1"": 1726.679931640625, ""y1"": 436.7928771972656, ""x2"": 1842.7132568359375, ""y2"": 448.8620910644531}",1-622363671649
1,3,text_line,C5.2 - UTILITY PLAN,"{""x1"": 1726.679931640625, ""y1"": 455.0328674316406, ""x2"": 1842.7132568359375, ""y2"": 467.1020812988281}",1-726820914179
1,3,text_line,C5.3 - UTILITY PLAN,"{""x1"": 1726.679931640625, ""y1"": 473.1528625488281, ""x2"": 1842.7132568359375, ""y2"": 485.2220764160156}",1-737011913089
1,3,text_line,C5.4 - UTILITY PLAN,"{""x1"": 1726.679931640625, ""y1"": 491.3928527832031, ""x2"": 1842.7132568359375, ""y2"": 503.4620666503906}",1-306872213913
1,3,text_line,C6.0 - FUELING PLAN,"{""x1"": 1726.679931640625, ""y1"": 509.5128479003906, ""x2"": 1850.0875244140625, ""y2"": 521.5820922851562}",1-777107483655
1,3,text_line,C7.0 - SEPTIC DETAILS,"{""x1"": 1726.679931640625, ""y1"": 527.7528076171875, ""x2"": 1860.1531982421875, ""y2"": 539.8220825195312}",1-3604393915
1,3,text_line,C8.0 - EVAPORATION POND DETAILS,"{""x1"": 1726.679931640625, ""y1"": 545.872802734375, ""x2"": 1941.970458984375, ""y2"": 557.9420776367188}",1-765519517461
1,3,text_line,C9.0 - OVERALL EROSION PLAN,"{""x1"": 1726.679931640625, ""y1"": 564.1128540039062, ""x2"": 1912.4735107421875, ""y2"": 576.18212890625}",1-722798116436
1,3,text_line,C10.0 - DETAILS,"{""x1"": 1726.679931640625, ""y1"": 582.3528442382812, ""x2"": 1819.91455078125, ""y2"": 594.422119140625}",1-861758340309
1,3,text_line,C10.1 - DETAILS,"{""x1"": 1726.679931640625, ""y1"": 600.4728393554688, ""x2"": 1819.91455078125, ""y2"": 612.5421142578125}",1-561164315846
1,3,text_line,C10.2 - DETAILS,"{""x1"": 1726.679931640625, ""y1"": 618.7128295898438, ""x2"": 1819.91455078125, ""y2"": 630.7821044921875}",1-461108089295
1,3,text_line,C10.3 - BRINE TANK PAD DETAILS,"{""x1"": 1726.679931640625, ""y1"": 636.8328247070312, ""x2"": 1923.8665771484375, ""y2"": 648.902099609375}",1-445213655343
1,3,text_line,C10.4 - FENCE DETAILS,"{""x1"": 1726.679931640625, ""y1"": 655.0728149414062, ""x2"": 1864.1722412109375, ""y2"": 667.14208984375}",1-154870025086
1,3,text_line,C10.5 - UTILITY DETAILS,"{""x1"": 1726.679931640625, ""y1"": 673.1928100585938, ""x2"": 1868.2032470703125, ""y2"": 685.2620849609375}",1-421630600040
1,3,text_line,C10.6 - FLEXAMAT DETAILS,"{""x1"": 1726.679931640625, ""y1"": 691.432861328125, ""x2"": 1886.983154296875, ""y2"": 703.5021362304688}",1-342180835607
1,3,text_line,C10.7 - HERBICIDE TANK PAD DETAILS,"{""x1"": 1726.679931640625, ""y1"": 709.5528564453125, ""x2"": 1952.6998291015625, ""y2"": 721.6221313476562}",1-888561328104
1,3,text_line,C10.8 - CORS TOWER DETAILS,"{""x1"": 1726.679931640625, ""y1"": 727.7928466796875, ""x2"": 1906.41455078125, ""y2"": 739.8621215820312}",1-285491739873
1,3,text_line,MA1.0 - CODE ANALYSIS,"{""x1"": 1725.3599853515625, ""y1"": 1072.912841796875, ""x2"": 1868.2232666015625, ""y2"": 1084.9820556640625}",1-892414101942
1,3,text_line,MA2.0 - FLOOR PLAN,"{""x1"": 1725.3599853515625, ""y1"": 1091.0328369140625, ""x2"": 1847.427978515625, ""y2"": 1103.10205078125}",1-809641596274
1,3,text_line,MA3.0 - ROOF PLAN,"{""x1"": 1725.3599853515625, ""y1"": 1109.2728271484375, ""x2"": 1840.717529296875, ""y2"": 1121.342041015625}",1-553308299653
1,3,text_line,MA4.0 - EXTERIOR ELEVATIONS,"{""x1"": 1725.3599853515625, ""y1"": 1127.392822265625, ""x2"": 1911.817138671875, ""y2"": 1139.4620361328125}",1-510354432298
1,3,text_line,MA5.0 - BUILDING SECTIONS,"{""x1"": 1725.3599853515625, ""y1"": 1145.6328125, ""x2"": 1893.0252685546875, ""y2"": 1157.7020263671875}",1-734595731172
1,3,text_line,MA6.0 - SECTION DETAILS,"{""x1"": 1725.3599853515625, ""y1"": 1163.872802734375, ""x2"": 1878.2767333984375, ""y2"": 1175.9420166015625}",1-142581621833
1,3,text_line,MA6.1 - SECTION DETAILS,"{""x1"": 1725.3599853515625, ""y1"": 1181.9927978515625, ""x2"": 1878.2767333984375, ""y2"": 1194.06201171875}",1-673265536623
1,3,text_line,MA7.0 - PLAN DETAILS,"{""x1"": 1725.3599853515625, ""y1"": 1200.2327880859375, ""x2"": 1856.1539306640625, ""y2"": 1212.302001953125}",1-266138978053
1,3,text_line,MA8.0 - MILLWORK & SCHEDULES,"{""x1"": 1725.3599853515625, ""y1"": 1218.352783203125, ""x2"": 1923.874267578125, ""y2"": 1230.4219970703125}",1-918964256459
1,3,text_line,"MA9.0 - FIXTURES, EQUIPMENT, & ENLARGED PLANS","{""x1"": 1725.3599853515625, ""y1"": 1236.5927734375, ""x2"": 2036.5521240234375, ""y2"": 1248.6619873046875}",1-229798592355
1,3,text_line,MA11.0 - DOORS & WINDOWS,"{""x1"": 1725.3599853515625, ""y1"": 1254.712890625, ""x2"": 1897.7081298828125, ""y2"": 1266.7821044921875}",1-47774702056
1,3,text_line,MA11.1 - DOOR & WINDOW DETAILS,"{""x1"": 1725.3599853515625, ""y1"": 1272.952880859375, ""x2"": 1935.2674560546875, ""y2"": 1285.0220947265625}",1-296000197800
1,3,text_line,MA12.0 - REFLECTED CEILING PLAN,"{""x1"": 1725.3599853515625, ""y1"": 1291.19287109375, ""x2"": 1935.95556640625, ""y2"": 1303.2620849609375}",1-485325923405
1,3,text_line,MS1.0 - MAINTENANCE FOUNDATION PLAN,"{""x1"": 1725.3599853515625, ""y1"": 1309.312744140625, ""x2"": 1976.833740234375, ""y2"": 1321.3819580078125}",1-940117474671
1,3,text_line,MS2.0 - MAINTENANCE DESIGN CRITERIA & DETAILS,"{""x1"": 1725.3599853515625, ""y1"": 1327.5528564453125, ""x2"": 2033.1849365234375, ""y2"": 1339.6220703125}",1-21081855735
1,3,text_line,MM1.0 - MAINTENANCE MECHANICAL PLAN,"{""x1"": 1725.3599853515625, ""y1"": 1345.6728515625, ""x2"": 1978.17333984375, ""y2"": 1357.7420654296875}",1-957982692020
1,3,text_line,MM2.0 - MAINTENANCE MECHANICAL SCHEDULES,"{""x1"": 1725.3599853515625, ""y1"": 1363.912841796875, ""x2"": 2020.4156494140625, ""y2"": 1375.9820556640625}",1-421719891139
1,3,text_line,ME0.1 - MAINTENANCE PANEL SCHEDULES,"{""x1"": 1725.3599853515625, ""y1"": 1382.0328369140625, ""x2"": 1978.8614501953125, ""y2"": 1394.10205078125}",1-21105849922
1,3,text_line,ME1.0 - MAINTENANCE LIGHTING PLAN,"{""x1"": 1725.3599853515625, ""y1"": 1400.2728271484375, ""x2"": 1954.0472412109375, ""y2"": 1412.342041015625}",1-789441628253
1,3,text_line,ME2.1 - MAINTENANCE POWER PLAN,"{""x1"": 1725.3599853515625, ""y1"": 1418.392822265625, ""x2"": 1942.6419677734375, ""y2"": 1430.4620361328125}",1-700058791904
1,3,text_line,ME3.1 - MAINTENANCE SYSTEMS PLAN,"{""x1"": 1725.3599853515625, ""y1"": 1436.6328125, ""x2"": 1954.7232666015625, ""y2"": 1448.7020263671875}",1-913223293324
1,3,text_line,MP1.0 - MAINTENANCE PLUMBING PLANS,"{""x1"": 1725.3599853515625, ""y1"": 1454.7528076171875, ""x2"": 1968.1319580078125, ""y2"": 1466.822021484375}",1-770851505579
1,3,text_line,MP1.1 - MAINTENANCE WASTE/VENT PLANS,"{""x1"": 1725.3599853515625, ""y1"": 1472.9927978515625, ""x2"": 1985.7122802734375, ""y2"": 1485.06201171875}",1-138939427789
1,3,text_line,MP2.0 - MAINTENANCE PLUMBING SCHEDULES,"{""x1"": 1725.3599853515625, ""y1"": 1491.11279296875, ""x2"": 2002.323974609375, ""y2"": 1503.1820068359375}",1-870141505976
1,4,text_line,EA1.0 - FLOOR PLAN,"{""x1"": 2048.760009765625, ""y1"": 127.67286682128906, ""x2"": 2168.82421875, ""y2"": 139.7421112060547}",1-419406836738
1,4,text_line,EA2.0 - ELEVATIONS & SECTIONS,"{""x1"": 2048.760009765625, ""y1"": 145.79286193847656, ""x2"": 2244.618896484375, ""y2"": 157.8621063232422}",1-781791312890
1,4,text_line,EA3.0 - DETAILS,"{""x1"": 2048.760009765625, ""y1"": 164.03285217285156, ""x2"": 2142.67041015625, ""y2"": 176.1020965576172}",1-463420350285
1,4,text_line,ES1.0 - SHOP SHED FOUNDATION PLAN,"{""x1"": 2048.760009765625, ""y1"": 182.27284240722656, ""x2"": 2281.478759765625, ""y2"": 194.3420867919922}",1-827352523069
1,4,text_line,ES2.0 - SHOP SHED FOUNDATION DETAILS,"{""x1"": 2048.760009765625, ""y1"": 200.39283752441406, ""x2"": 2300.258544921875, ""y2"": 212.4620819091797}",1-295829114971
1,4,text_line,ES3.0 - SHOP SHED HOIST DETAIL,"{""x1"": 2048.760009765625, ""y1"": 218.63282775878906, ""x2"": 2249.302001953125, ""y2"": 230.7020721435547}",1-823061206836
1,4,text_line,EM1.0 - SHOP SHED MECHANICAL PLAN,"{""x1"": 2048.760009765625, ""y1"": 236.75282287597656, ""x2"": 2282.818359375, ""y2"": 248.8220672607422}",1-198299054956
1,4,text_line,EE1.0 - SHOP SHED LIGHTING PLAN,"{""x1"": 2048.760009765625, ""y1"": 254.99281311035156, ""x2"": 2258.69189453125, ""y2"": 267.0620422363281}",1-852539661321
1,4,text_line,EE2.0 - SHOP SHED POWER & SYSTEMS PLAN,"{""x1"": 2048.760009765625, ""y1"": 273.2328186035156, ""x2"": 2319.725341796875, ""y2"": 285.3020324707031}",1-763260142556
1,4,text_line,EP1.0 - SHOP SHED PLUMBING PLANS,"{""x1"": 2048.760009765625, ""y1"": 291.3528137207031, ""x2"": 2272.776611328125, ""y2"": 303.4220275878906}",1-23120975368
1,4,text_line,HOPPER RACK,"{""x1"": 2047.5599365234375, ""y1"": 565.4304809570312, ""x2"": 2166.466552734375, ""y2"": 581.5228271484375}",1-515402713819
1,4,text_line,HA2.0 - HOPPER RACK,"{""x1"": 2048.760009765625, ""y1"": 589.7928466796875, ""x2"": 2180.8818359375, ""y2"": 601.8621215820312}",1-780338070885
1,4,text_line,HA2.1 - DETAILS,"{""x1"": 2048.760009765625, ""y1"": 608.0328369140625, ""x2"": 2143.33447265625, ""y2"": 620.1021118164062}",1-599520177112
1,4,text_line,HS1.0 - HOPPER RACK FOUNDATION PLAN,"{""x1"": 2048.760009765625, ""y1"": 626.15283203125, ""x2"": 2298.90673828125, ""y2"": 638.2221069335938}",1-428005435617
1,4,text_line,HS2.0 - HOPPER RACK FRAMING PLAN & ELEVATIONS,"{""x1"": 2048.760009765625, ""y1"": 644.392822265625, ""x2"": 2365.323486328125, ""y2"": 656.4620971679688}",1-685878590054
1,4,text_line,HS3.0 - HOPPER RACK DESIGN CRITERIA &,"{""x1"": 2048.760009765625, ""y1"": 662.6328125, ""x2"": 2301.5986328125, ""y2"": 674.7020874023438}",1-807924736027
1,4,text_line,FOUNDATION DETAILS,"{""x1"": 2066.0400390625, ""y1"": 680.7528076171875, ""x2"": 2199.48974609375, ""y2"": 692.8220825195312}",1-40005802181
1,4,text_line,HS4.0 - HOPPER RACK CATWALK DETAILS,"{""x1"": 2048.760009765625, ""y1"": 698.9928588867188, ""x2"": 2296.2392578125, ""y2"": 711.0621337890625}",1-771321190319
1,4,text_line,FUEL CANOPY,"{""x1"": 2047.5599365234375, ""y1"": 747.8304443359375, ""x2"": 2162.894287109375, ""y2"": 763.9227905273438}",1-992065547995
1,4,text_line,FA2.0 - FUEL CANOPY,"{""x1"": 2048.760009765625, ""y1"": 772.1928100585938, ""x2"": 2176.86279296875, ""y2"": 784.2620849609375}",1-139680254943
1,4,text_line,FS1.0 - FUEL CANOPY FRAMING PLAN,"{""x1"": 2048.760009765625, ""y1"": 790.4328002929688, ""x2"": 2270.749267578125, ""y2"": 802.5020751953125}",1-877523041627
1,4,text_line,FS2.0 - FUEL CANOPY DETAILS,"{""x1"": 2048.760009765625, ""y1"": 808.6728515625, ""x2"": 2230.5224609375, ""y2"": 820.7421264648438}",1-306300802689
1,4,text_line,ODOT STANDARDS,"{""x1"": 2047.43994140625, ""y1"": 839.7504272460938, ""x2"": 2199.41650390625, ""y2"": 855.8427734375}",1-838327672257
1,4,text_line,PCES-5-1 - PREFABRICATED CULVERT END,"{""x1"": 2047.0799560546875, ""y1"": 865.0728149414062, ""x2"": 2301.90966796875, ""y2"": 877.14208984375}",1-143748273855
1,4,text_line,SECTIONS,"{""x1"": 2064.719970703125, ""y1"": 883.3128051757812, ""x2"": 2126.41796875, ""y2"": 895.382080078125}",1-496813634986
1,4,text_line,SPI-5-2 - STANDARD PIPE INSTALLATION,"{""x1"": 2047.43994140625, ""y1"": 901.5528564453125, ""x2"": 2285.529296875, ""y2"": 913.6221313476562}",1-155395627278
1,4,text_line,PBB-1-2 - PIPE BEDDING & BACKFILL,"{""x1"": 2047.0799560546875, ""y1"": 919.6728515625, ""x2"": 2261.04248046875, ""y2"": 931.7421264648438}",1-605356330879
1,4,text_line,RWF3-3-2 - RIGHT-OF-WAY FENCE STYLE CLF,"{""x1"": 2047.0799560546875, ""y1"": 937.912841796875, ""x2"": 2315.306640625, ""y2"": 949.9821166992188}",1-428775178884
1,4,text_line,(CHAINLINK FENCE),"{""x1"": 2064.47998046875, ""y1"": 956.0328369140625, ""x2"": 2181.153564453125, ""y2"": 968.1021118164062}",1-447401520340
1,4,text_line,EQUIPMENT SHED - WASH BAY,"{""x1"": 2047.43994140625, ""y1"": 326.7503967285156, ""x2"": 2294.200927734375, ""y2"": 342.8427429199219}",1-815071268339
1,4,text_line,WA1.0 - FLOOR PLAN,"{""x1"": 2049.599853515625, ""y1"": 351.1128234863281, ""x2"": 2173.007568359375, ""y2"": 363.1820373535156}",1-676282084563
1,4,text_line,WA2.0 - ELEVATIONS & SECTIONS,"{""x1"": 2049.599853515625, ""y1"": 369.3528137207031, ""x2"": 2248.80224609375, ""y2"": 381.4220275878906}",1-63964463407
1,4,text_line,WA3.0 - DETAILS,"{""x1"": 2049.599853515625, ""y1"": 387.4728088378906, ""x2"": 2146.853759765625, ""y2"": 399.5420227050781}",1-719289584731
1,4,text_line,WS1.0 - WASH SHED FOUNDATION PLAN,"{""x1"": 2049.599853515625, ""y1"": 405.7129211425781, ""x2"": 2287.665771484375, ""y2"": 417.7821350097656}",1-878259170281
1,4,text_line,WS2.0 - WASH SHED FOUNDATION DETAILS,"{""x1"": 2049.599853515625, ""y1"": 423.8329162597656, ""x2"": 2306.445556640625, ""y2"": 435.9021301269531}",1-235813745141
1,4,text_line,WS3.0 - WASH SHED CATWALK DETAILS,"{""x1"": 2049.599853515625, ""y1"": 442.0729064941406, ""x2"": 2284.998291015625, ""y2"": 454.1421203613281}",1-19839437494
1,4,text_line,WS3.0 - WASH SHED CATWALK DETAILS,"{""x1"": 2049.599853515625, ""y1"": 460.1929016113281, ""x2"": 2284.998291015625, ""y2"": 472.2621154785156}",1-19839437494
1,4,text_line,WM1.0 - WASH SHED MECHANICAL PLAN,"{""x1"": 2049.599853515625, ""y1"": 478.4328918457031, ""x2"": 2289.00537109375, ""y2"": 490.5021057128906}",1-942862838776
1,4,text_line,WE1.0 - WASH SHED LIGHTING PLAN,"{""x1"": 2049.599853515625, ""y1"": 496.5528869628906, ""x2"": 2264.87890625, ""y2"": 508.6221008300781}",1-45521215902
1,4,text_line,WE2.0 - WASH SHED POWER & SYSTEMS PLAN,"{""x1"": 2049.599853515625, ""y1"": 514.7928466796875, ""x2"": 2325.912353515625, ""y2"": 526.8621215820312}",1-235879418554
1,4,text_line,WP1.0 - WASH SHED PLUMBING PLANS,"{""x1"": 2049.599853515625, ""y1"": 533.0328369140625, ""x2"": 2278.963623046875, ""y2"": 545.1021118164062}",1-757452024390
1,3,text_line,GENERAL,"{""x1"": 1725.1199951171875, ""y1"": 765.8304443359375, ""x2"": 1803.7952880859375, ""y2"": 781.9227905273438}",1-98075032064
1,3,text_line,S1.0 - STRUCTURAL GENERAL NOTES,"{""x1"": 1725.719970703125, ""y1"": 790.7928466796875, ""x2"": 1948.3726806640625, ""y2"": 802.8621215820312}",1-868071799873
1,3,text_line,S2.0 - STRUCTURAL SPECIAL INSPECTIONS &,"{""x1"": 1725.719970703125, ""y1"": 808.912841796875, ""x2"": 1993.318359375, ""y2"": 820.9821166992188}",1-108192414545
1,3,text_line,ABBREVIATIONS,"{""x1"": 1743.47998046875, ""y1"": 827.15283203125, ""x2"": 1840.7337646484375, ""y2"": 839.2221069335938}",1-349126623303
1,3,text_line,S3.0 - STRUCTURAL TYPICAL DETAILS,"{""x1"": 1725.719970703125, ""y1"": 845.2728271484375, ""x2"": 1949.724365234375, ""y2"": 857.3421020507812}",1-698969354339
1,3,text_line,M1.0 - MECHANICAL LEGEND & NOTES,"{""x1"": 1725.3599853515625, ""y1"": 863.5128173828125, ""x2"": 1951.367919921875, ""y2"": 875.5820922851562}",1-345617477554
1,3,text_line,M2.0 - MECHANICAL DETAILS,"{""x1"": 1725.3599853515625, ""y1"": 881.7528076171875, ""x2"": 1895.70458984375, ""y2"": 893.8220825195312}",1-267468755076
1,3,text_line,E1.0 - ELECTRICAL COVER SHEET,"{""x1"": 1725.239990234375, ""y1"": 899.872802734375, ""x2"": 1925.1060791015625, ""y2"": 911.9420776367188}",1-796756452225
1,3,text_line,E2.0 - ELECTRICAL ONE-LINE DIAGRAM &,"{""x1"": 1725.239990234375, ""y1"": 918.1128540039062, ""x2"": 1966.684326171875, ""y2"": 930.18212890625}",1-326702125099
1,3,text_line,SCHEDULES,"{""x1"": 1743.0, ""y1"": 936.2328491210938, ""x2"": 1816.7669677734375, ""y2"": 948.3021240234375}",1-972455725344
1,3,text_line,E3.0 - ELECTRICAL SITE PLAN,"{""x1"": 1725.239990234375, ""y1"": 954.4728393554688, ""x2"": 1900.3038330078125, ""y2"": 966.5421142578125}",1-176914487584
1,3,text_line,E4.0 - ELECTRICAL DETAILS,"{""x1"": 1725.239990234375, ""y1"": 972.5928344726562, ""x2"": 1888.8983154296875, ""y2"": 984.662109375}",1-176875215227
1,3,text_line,P1.0 - PLUMBING LEGEND & NOTES,"{""x1"": 1725.3599853515625, ""y1"": 990.8328247070312, ""x2"": 1933.2762451171875, ""y2"": 1002.902099609375}",1-324112254299
1,3,text_line,P2.0 - PLUMBING DETAILS,"{""x1"": 1725.3599853515625, ""y1"": 1008.9528198242188, ""x2"": 1877.613037109375, ""y2"": 1021.0220947265625}",1-216408613112
1,5,text_line,CEC CORPORATION,"{""x1"": 2257.56005859375, ""y1"": 1475.056640625, ""x2"": 2339.455810546875, ""y2"": 1483.3843994140625}",1-682416347767
1,5,text_line,WWW.CONNECTCEC.COM,"{""x1"": 2245.43994140625, ""y1"": 1485.256591796875, ""x2"": 2351.8359375, ""y2"": 1493.5843505859375}",1-846587878050
1,5,text_line,OK CA#: 32  EXP.: 2026-06-30,"{""x1"": 2240.639892578125, ""y1"": 1495.4566650390625, ""x2"": 2355.90576171875, ""y2"": 1503.784423828125}",1-283920280802
1,5,text_line,CEC PROJECT #240622,"{""x1"": 2251.56005859375, ""y1"": 1505.53662109375, ""x2"": 2345.048095703125, ""y2"": 1513.8643798828125}",1-921540234188
3,13,text_line,C0.1,"{""x1"": 2317.919921875, ""y1"": 1516.2452392578125, ""x2"": 2371.02392578125, ""y2"": 1541.3892822265625}",3-592395200703
