global_index,page,column,visual_note_id,visual_region,is_repeated,repeated_group_id,repeated_occurrences,text_preview,text,label
54,3,,,,no,,1,THE CONTRACTOR SHALL USE WHATEVER MEASURES NECESSARY TO PREVENT SILT AND CONSTRUCTION DEBRIS FROM FLOWING ONTO ADJACE...,"THE CONTRACTOR SHALL USE WHATEVER MEASURES
NECESSARY TO PREVENT SILT AND CONSTRUCTION DEBRIS
FROM FLOWING ONTO ADJACENT PROPERTIES.  THIS CAN BE",
55,3,,,,no,,8,2,2,
56,3,,,,no,,1,DETAILS SHOWN SHALL SUPERCEDE SPECIFICATIONS UNLESS OTHERWISE NOTED BY ENGINEER.,"DETAILS SHOWN SHALL SUPERCEDE SPECIFICATIONS UNLESS
OTHERWISE NOTED BY ENGINEER.",
57,3,,,,no,,1,SITE GRADING NOTES:,SITE GRADING NOTES:,
58,3,,,,no,,1,TRANSPORTATION 2019 STANDARD SPECIFICATIONS FOR HIGHWAY CONSTRUCTION AND SPECIAL PROVISIONS.,"TRANSPORTATION 2019 STANDARD SPECIFICATIONS FOR
HIGHWAY CONSTRUCTION AND SPECIAL PROVISIONS.",Standards Note
59,3,,,,no,,1,PROJECT SPECIFICATIONS GOVERN OVER STANDARD SPECIFICATIONS.,"PROJECT SPECIFICATIONS GOVERN OVER STANDARD
SPECIFICATIONS.",
60,3,,,,no,,8,2,2,
61,3,,,,no,,1,CONTRACTOR SHALL CONTACT OKIE (1-800-522-6543) FOR LOCATING EXISTING UTILITIES PRIOR TO ANY REMOVALS OR EXCAVATION . ...,"CONTRACTOR SHALL CONTACT OKIE (1-800-522-6543) FOR
LOCATING EXISTING UTILITIES PRIOR TO ANY REMOVALS OR
EXCAVATION . CONTRACTOR SHALL NOTIFY ALL UTILITY
COMPANIES AND GOVERNMENTAL AGENCIES WHO MAY HAVE
UTILITY LINES ON OR ABOUT THE PREMISES OR WHO MAY BE",
62,3,,,,no,,10,1,1,
63,3,,,,no,,1,PROPOSED CONTOURS DEPICT FINAL PAVING ELEVATION.,PROPOSED CONTOURS DEPICT FINAL PAVING ELEVATION.,
64,3,,,,no,,7,3,3,
65,3,,,,no,,1,NO REVISIONS SHALL BE MADE TO DETAILS UNLESS,NO REVISIONS SHALL BE MADE TO DETAILS UNLESS,
66,3,,,,no,,1,"ACCOMPLISHED BY TEMPORARY SEDIMENT PONDS, SILT FENCES, WIRE AND BURLAP FENCES, OR BARRIERS OF CEDAR","ACCOMPLISHED BY TEMPORARY SEDIMENT PONDS, SILT
FENCES, WIRE AND BURLAP FENCES, OR BARRIERS OF CEDAR",
67,3,,,,no,,1,ADJUST SUBGRADE AS NECESSARY FOR PAVEMENT THICKNESS.,"ADJUST SUBGRADE AS NECESSARY FOR PAVEMENT
THICKNESS.",
68,3,,,,no,,1,AUTHORIZED BY ENGINEER.  CONTRACTOR SHALL SUBMIT ANY CHANGES TO PROJECT ENGINEER FOR APPROVAL.,"AUTHORIZED BY ENGINEER.  CONTRACTOR SHALL SUBMIT
ANY CHANGES TO PROJECT ENGINEER FOR APPROVAL.",
69,3,,,,no,,8,2,2,
70,3,,,,no,,1,"UNLESS NOTED FOR REMOVAL, EXISTING TREES SHALL NOT BE DISTURBED. ALL TREE REMOVALS SHALL BE APPROVED BY THE OWNER PRI...","UNLESS NOTED FOR REMOVAL, EXISTING TREES SHALL NOT
BE DISTURBED. ALL TREE REMOVALS SHALL BE APPROVED BY
THE OWNER PRIOR TO DEMOLITION.",
71,3,,,,no,,1,TREES AND/OR BALES OF STRAW.,TREES AND/OR BALES OF STRAW.,
72,3,,,,no,,8,2,2,
73,3,,,,no,,1,THE CONTRACTOR SHALL BE RESPONSIBLE FOR NOTIFYING ALL UTILITY COMPANIES AND GOVERNMENTAL AGENCIES WHO MIGHT HAVE UTIL...,"THE CONTRACTOR SHALL BE RESPONSIBLE FOR NOTIFYING
ALL UTILITY COMPANIES AND GOVERNMENTAL AGENCIES WHO
MIGHT HAVE UTILITY LINES ON OR ABOUT THE PREMISES, OR",
74,3,,,,no,,8,2,2,
75,3,,,,no,,1,CONTRACTOR SHALL REFER TO THE GEOTECHNICAL ENGINEERING REPORT PROVIDED BY HINDERLITER GEOTECHNICAL ENGINEERING DATED ...,"CONTRACTOR SHALL REFER TO THE GEOTECHNICAL
ENGINEERING REPORT PROVIDED BY HINDERLITER
GEOTECHNICAL ENGINEERING DATED MAY 15, 2025 FOR SITE",
76,3,,,,no,,7,3,3,
77,3,,,,no,,1,"THE CONTRACTOR SHALL COMPLY WITH ALL FEDERAL, STATE AND LOCAL EROSION, CONSERVATION, AND SILTRATION REQUIREMENTS.","THE CONTRACTOR SHALL COMPLY WITH ALL FEDERAL, STATE
AND LOCAL EROSION, CONSERVATION, AND SILTRATION
REQUIREMENTS.",
78,3,,,,no,,1,AFFECTED BY THE CONSTRUCTION.,AFFECTED BY THE CONSTRUCTION.,
79,3,,,,no,,7,3,3,
80,3,,,,no,,1,EXISTING UTILITIES SHOWN ON THE PLANS ARE APPROXIMATED BASED ON RECORD DRAWINGS OR HORIZONTAL LOCATIONS FLAGGED IN TH...,"EXISTING UTILITIES SHOWN ON THE PLANS ARE
APPROXIMATED BASED ON RECORD DRAWINGS OR
HORIZONTAL LOCATIONS FLAGGED IN THE FIELD. ALL",
81,3,,,,no,,7,3,3,
82,3,,,,no,,1,THE UTILITY CONTRACTOR SHALL BE RESPONSIBLE FOR BACKFILLING AND COMPACTING ALL TRENCHES AND EXCAVATION AREAS ASSOCIAT...,"THE UTILITY CONTRACTOR SHALL BE RESPONSIBLE FOR
BACKFILLING AND COMPACTING ALL TRENCHES AND
EXCAVATION AREAS ASSOCIATED WITH UTILITY
CONSTRUCTION. FILL SHALL BE  PLACED IN ACCORDANCE
WITH THE GEOTECHNICAL REPORT COMPLETED FOR THIS
SITE (SEE SITE GRADING NOTES).",
83,3,,,,no,,1,WHO MIGHT BE AFFECTED BY THE CONSTRUCTION.  THE CONTRACTOR SHALL ALSO COORDINATE HIS ACTIVITIES WITH THE UTILITY COMP...,"WHO MIGHT BE AFFECTED BY THE CONSTRUCTION.  THE
CONTRACTOR SHALL ALSO COORDINATE HIS ACTIVITIES WITH
THE UTILITY COMPANIES TO ENSURE COMPLIANCE WITH THE
PROJECT SCHEDULE.  THE CONTRACTOR SHALL MAKE EVERY
EFFORT TO LOCATE AND PROTECT EXISTING UTILITY LINES,",
84,3,,,,no,,1,"AND SUBSURFACE CONDITIONS, SITE AND BUILDING PAD PREPARATION, AND PAVEMENT RECOMMENDATIONS AND CONSTRUCTION SPECIFICA...","AND SUBSURFACE CONDITIONS, SITE AND BUILDING PAD
PREPARATION, AND PAVEMENT RECOMMENDATIONS AND
CONSTRUCTION SPECIFICATIONS.  ANY INCONSISTENCIES
BETWEEN THE GEOTECHNICAL ENGINEERING REPORT AND
THESE DRAWINGS SHALL BE BROUGHT TO THE ATTENTION OF
ENGINEER FOR RESOLUTION.",
85,3,,,,no,,5,4,4,
86,3,,,,no,,1,THE CONTRACTOR SHALL IMPLEMENT BEST MANAGEMENT PRACTICES (BMP'S) AS REQUIRED. ADDITIONAL BMP'S SHALL BE IMPLEMENTED A...,"THE CONTRACTOR SHALL IMPLEMENT BEST MANAGEMENT
PRACTICES (BMP'S) AS REQUIRED. ADDITIONAL BMP'S SHALL
BE IMPLEMENTED AS DICTATED BY FIELD CONDITIONS, AT NO",
87,3,,,,no,,1,VERTICAL LOCATIONS ARE APPROXIMATE DEPTH ONLY. THE ENGINEER DOES NOT GUARANTEE THE ACCURACY OF UTILITIES INFORMATION....,"VERTICAL LOCATIONS ARE APPROXIMATE DEPTH ONLY. THE
ENGINEER DOES NOT GUARANTEE THE ACCURACY OF
UTILITIES INFORMATION.  FIELD VERIFY THE PRESENCE, TYPE,
SIZE, LOCATION AND DEPTH OF ALL EXISTING UTILITIES IN THE
PROJECT AREA PRIOR TO CONSTRUCTION.  NOTIFY THE
OWNER AND ENGINEER OF ANY DISCREPANCIES BEFORE
PROCEEDING.",
88,3,,,,no,,1,"ADDITIONAL COST TO OWNER, THROUGHOUT ALL PHASES OF CONSTRUCTION.","ADDITIONAL COST TO OWNER, THROUGHOUT ALL PHASES OF
CONSTRUCTION.",
89,3,,,,no,,1,AND SHALL REPAIR ANY DAMAGES.,AND SHALL REPAIR ANY DAMAGES.,
90,3,,,,no,,5,4,4,
91,3,,,,no,,1,ALL UTILITIES SHALL TERMINATE FIVE (5) FEET OUTSIDE THE BUILDING UNLESS OTHERWISE NOTED.  THE END OF ALL SERVICE LINE...,"ALL UTILITIES SHALL TERMINATE FIVE (5) FEET OUTSIDE THE
BUILDING UNLESS OTHERWISE NOTED.  THE END OF ALL
SERVICE LINES SHALL BE TIGHTLY CAPPED OR PLUGGED AND
MARKED UNTIL SUCH TIME AS CONNECTIONS ARE MADE
INSIDE THE BUILDING. ALL SERVICE LINES SHALL BE STUBBED
UP TO A MINIMUM OF 1' ABOVE FINISHED GRADE.",
92,3,,,,no,,1,CONTRACTOR SHALL VERIFY ALL UTILITY STUBS TO THE BUILDING(S) WITH THE M.E.P. PLANS.,"CONTRACTOR SHALL VERIFY ALL UTILITY STUBS TO THE
BUILDING(S) WITH THE M.E.P. PLANS.",
93,3,,,,no,,7,3,3,
94,3,,,,no,,1,THE CONTRACTOR SHALL BE RESPONSIBLE FOR HIS OWN CONSTRUCTION STAKING. CONTRACTOR TO OBTAIN CAD DRAWING FILE FROM ENGI...,"THE CONTRACTOR SHALL BE RESPONSIBLE FOR HIS OWN
CONSTRUCTION STAKING. CONTRACTOR TO OBTAIN CAD
DRAWING FILE FROM ENGINEER FOR SITE CONSTRUCTION
STAKING.",
95,3,,,,no,,7,3,3,
96,3,,,,no,,1,"AFTER PERFORMING ANY REQUIRED CUTS AND PRIOR TO PLACEMENT OF FILL, THE SITE SHALL BE PROOFROLLED WITH","AFTER PERFORMING ANY REQUIRED CUTS AND PRIOR TO
PLACEMENT OF FILL, THE SITE SHALL BE PROOFROLLED WITH",
97,3,,,,no,,5,5,5,
98,3,,,,no,,1,THE CONTRACTOR SHALL KEEP PAVEMENT AREAS FREE OF ANY MUD OR EXCAVATION WASTE FROM TRUCKS OR OTHER EQUIPMENT.,"THE CONTRACTOR SHALL KEEP PAVEMENT AREAS FREE OF
ANY MUD OR EXCAVATION WASTE FROM TRUCKS OR OTHER
EQUIPMENT.",
99,3,,,,no,,1,A 20 TO 25 TON PNEUMATIC-TIRED VEHICLE TO LOCATE ANY ZONES THAT ARE SOFT OR UNSTABLE.  WHERE RUTTING OR PUMPING IS OB...,"A 20 TO 25 TON PNEUMATIC-TIRED VEHICLE TO LOCATE ANY
ZONES THAT ARE SOFT OR UNSTABLE.  WHERE RUTTING OR
PUMPING IS OBSERVED DURING PROOFROLLING, THE
UNSTABLE SOILS SHALL BE OVER-EXCAVATED AND REPLACED",
100,3,,,,no,,5,4,4,
101,3,,,,no,,1,CONTRACTOR SHALL BE RESPONSIBLE FOR CLEARING AND GRUBBING THE SITE.  UNSUITABLE EXCAVATED MATERIALS AND ALL WASTE RES...,"CONTRACTOR SHALL BE RESPONSIBLE FOR CLEARING AND
GRUBBING THE SITE.  UNSUITABLE EXCAVATED MATERIALS
AND ALL WASTE RESULTING FROM CLEARING AND GRUBBING
SHALL BE DISPOSED OFF-SITE.",
102,3,,,,no,,5,6,6,
103,3,,,,no,,1,THE CONTRACTOR SHALL REMOVE ALL TEMPORARY EROSION CONTROL STRUCTURES UPON COMPLETION OF CONSTRUCTION AND THE ESTABLIS...,"THE CONTRACTOR SHALL REMOVE ALL TEMPORARY EROSION
CONTROL STRUCTURES UPON COMPLETION OF
CONSTRUCTION AND THE ESTABLISHMENT OF SUFFICIENT
PERMANENT STABILIZATION TO PREVENT EROSION.",
104,3,,,,no,,5,4,4,
105,3,,,,no,,1,"ALL CURB DIMENSIONS, RADIUS CALLOUTS AND ELEVATIONS ARE TO FACE OF CURB UNLESS OTHERWISE NOTED.","ALL CURB DIMENSIONS, RADIUS CALLOUTS AND ELEVATIONS
ARE TO FACE OF CURB UNLESS OTHERWISE NOTED.",
106,3,,,,no,,1,WITH FILL IF THE SOILS CAN NOT BE MOISTURE CONDITIONED AND EFFECTIVELY COMPACTED IN PLACE.,"WITH FILL IF THE SOILS CAN NOT BE MOISTURE CONDITIONED
AND EFFECTIVELY COMPACTED IN PLACE.",
107,3,,,,no,,5,5,5,
108,3,,,,no,,1,"THE REMOVAL OF ANY UTILITY LINE, SERVICE, APPURTENANCE, AND STRUCTURE SHALL BE COORDINATED WITH THE OWNER OF THE RESP...","THE REMOVAL OF ANY UTILITY LINE, SERVICE,
APPURTENANCE, AND STRUCTURE SHALL BE COORDINATED
WITH THE OWNER OF THE RESPECTIVE UTILITY.",
109,3,,,,no,,5,5,5,
110,3,,,,no,,1,"ALL SIGNS, PAVEMENT MARKINGS, AND OTHER TRAFFIC CONTROL DEVICES SHALL CONFORM TO THE MANUAL ON UNIFORM TRAFFIC CONTRO...","ALL SIGNS, PAVEMENT MARKINGS, AND OTHER TRAFFIC
CONTROL DEVICES SHALL CONFORM TO THE MANUAL ON
UNIFORM TRAFFIC CONTROL DEVICES, LATEST EDITION.",
111,3,,,,no,,5,5,5,
112,3,,,,no,,1,"ALL VALVES, MANHOLE LIDS, AND SEWER CLEAN-OUTS LOCATED IN PAVED AREAS, SHALL BE RATED FOR H-20 TRAFFIC LOADING.","ALL VALVES, MANHOLE LIDS, AND SEWER CLEAN-OUTS
LOCATED IN PAVED AREAS, SHALL BE RATED FOR H-20
TRAFFIC LOADING.",
113,3,,,,no,,5,4,4,
114,3,,,,no,,1,THE BUILDING AREA SUBGRADE SOILS AND ANY AREA THAT WILL RECEIVE FILL SHALL BE SCARIFIED AND COMPACTED TO A DEPTH OF 8...,"THE BUILDING AREA SUBGRADE SOILS AND ANY AREA THAT
WILL RECEIVE FILL SHALL BE SCARIFIED AND COMPACTED TO
A DEPTH OF 8 INCHES.  THE MOISTURE CONTENT OF THE
SCARIFIED SOIL SHALL BE ADJUSTED TO WITHIN 2% OF ITS
OPTIMUM VALUE, AS DETERMINED BY THE STANDARD
PROCTOR TEST METHOD (ASTM D-698), PRIOR TO BEING
COMPACTED TO AT LEAST 95 PERCENT OF ITS MAXIMUM DRY
DENSITY.",
115,3,,,,no,,5,7,7,
